restaurant_display,city,am_name,am_email
"Kafeterija „Bukmarker“, Lagunin klub čitalaca",Beograd,,
Mega Gym Bistro Central,Beograd,,
Bakine palačinke,Beograd,,
Restoran Pečat,Beograd,,
Turist Burger,Beograd,,
Etno restoran Zlatar,Beograd,,
Ruyi Fast Food Chinese,Beograd,,
Avalica,Beograd,,
Fresh pasta box,Beograd,,
TRI LAFA,Beograd,,
Le Coin Bistrot Belgrade,Beograd,,
Super Palačinke,Beograd,,
Smash n Friends Burgers,Beograd,,
Vegetarian food,Beograd,,
Ekspres Restoran Lonac,Beograd,,
ARTIGANI La cucina Italiana & pizzeria,Beograd,,
 Sushi & Wine TRANSFORMART ,Beograd,,
Eat Healthy,Beograd,,
Breakfast,Beograd,,
Mr. Sač,Beograd,,
Flipz,Beograd,,
Pizzeria Ćoše,Beograd,,
Pasta House kod Garića,Beograd,,
St Mark's Place 1,Beograd,,
Flašice,Beograd,,
Shall we,Beograd,,
Zero Zero,Beograd,,
Sushi Tempo,Beograd,,
Picerija Palermo,Beograd,,
KARUSEL,Beograd,,
SENDVIC MARKET by Matori,Beograd,,
Palačinkarnica Zvončica,Beograd,,
YXIanzh,Beograd,,
Acaimania Smoothie & Juice shop,Beograd,,
Teel Cafe,Beograd,,
Stara Hercegovina Carigradska,Beograd,,
Fit House,Beograd,,
Willow Vračar,Beograd,,
STEVENS KITCHEN - Handmade Chinese food,Beograd,,
Patriki,Beograd,,
Klub Restoran Soči,Beograd,,
Food Distrikt,Beograd,,
Shawarma - Traditionally served by Ararat,Beograd,,
Crazy Dumplings Resavska,Beograd,,
Palačinkarnica Glumac Plus,Beograd,,
Pivokratija Craft Beer & American Style Pizza,Beograd,,
Gallo Nero Dorcol,Beograd,,
Zlata,Beograd,,
Picerija Skver,Beograd,,
Šavurma Premium,Beograd,,
NJK Chinese Street Food 1,Beograd,,
Verde brunch & more,Beograd,,
Pasta Pietro NBG,Beograd,,
Oljina Kuhinja,Beograd,,
Pizzeria Napoletana Šoljica,Beograd,,
Restoran Gurman,Beograd,,
YOYO Tea Restaurant,Beograd,,
Shangri-la Galerija,Beograd,,
Chang Mao,Beograd,,
Stubal Gyros,Beograd,,
Fello Street Food,Beograd,,
Roštilj Žuća,Beograd,,
Boko Picerija,Beograd,,
Urma Poslastičarnica,Beograd,,
Restoran Brera,Beograd,,
Belmond,Beograd,,
Black White,Beograd,,
Burger kod Vojvode,Beograd,,
Ćao Šećeru,Beograd,,
Pink Panter Ćevabdžinica Banovo Brdo,Beograd,,
Pizza Pepperoni,Beograd,,
Sushi Times,Beograd,,
Ćevabdžinica Jevtić,Beograd,,
Hi Hotpot 喜捞火锅  Galerija,Beograd,,
Eat Point,Beograd,,
Steakhouse Toro Grill Zemun,Beograd,,
Vojvoda,Beograd,,
Smasher & CO Authentic Smash Burger's,Beograd,,
Moscow Pancakes & Creparie,Beograd,,
Fabrika ukusa,Beograd,,
Mr.Dumplings,Beograd,,
Bistro Trandafilović,Beograd,,
Roki Pile,Beograd,,
Uramaki Dorćol,Beograd,,
Cvet,Beograd,,
Collina Kuhinjica Vračar,Beograd,,
Sarajevski ćevap i giros,Beograd,,
DOBROWICH SANDWICH & BAKERY,Beograd,,
Dolcino,Beograd,,
Dolly Bell | Galerija,Beograd,,
Bemata,Beograd,,
VegANGELov,Beograd,,
Wiggle Pancakes,Beograd,,
Srecno Kineski Restoran,Beograd,,
LACANTINE,Beograd,,
Restoran Danubius,Beograd,,
Pečenjara N&N,Beograd,,
Royal Palačinke,Beograd,,
Meraki Gyros,Beograd,,
Solunac Grčki Giros,Beograd,,
Pizza&Pizza by Chiara,Beograd,,
Osteria Mozzarella,Beograd,,
Mezetko,Beograd,,
Yalla Lebanese Food,Beograd,,
Dolcino Street Coffee,Beograd,,
BABA SAN Sushi Bar,Beograd,,
Zar Mance Zemun,Beograd,,
OG Kebab,Beograd,,
KACAMAK HAUS,Beograd,,
Kineski Restoran Pan Ji blok 70,Beograd,,
Restoran Komšiluk,Beograd,,
Kafana Srem ,Beograd,,
Zora Bg,Beograd,,
Tuk Tuk Thai Food,Beograd,,
Molto Sano,Beograd,,
Krilca Bg,Beograd,,
Čaršija Fast Food,Beograd,,
Beli Medved Food,Beograd,,
Napolje,Beograd,,
Kuvana Jela - Kiklop,Beograd,,
Pizza by Constantin,Beograd,,
Buena Vida Mexican Gastro Bar,Beograd,,
Roštilj Kod Koce,Beograd,,
Kod Vece,Beograd,,
Furuna,Beograd,,
Gallo's,Beograd,,
DS Slavija,Beograd,,
GEUM bistro,Beograd,,
Žar Mance Bogoslovija,Beograd,,
Pekarica Collina,Beograd,,
Banjalučki ćevap Dobro Karaburma,Beograd,,
Kod Pribojca,Beograd,,
Mochi,Beograd,,
NUA Poke,Beograd,,
Splav Godo,Beograd,,
Funk & Soul Pub 1#,Beograd,,
Lep Izgled Kafana,Beograd,,
Trešnjin Hlad,Beograd,,
Burger Bar Oblakovska,Beograd,,
Mala Slavija na Sajmu,Beograd,,
Restoran Komanda,Beograd,,
S Pizza Hot,Beograd,,
Italiano Vero 1,Beograd,,
Slavkina Domaća Kujna,Beograd,,
Fast Food Kod Mićka,Beograd,,
Restoran Nacionalna Klasa Beograd,Beograd,,
MA'IDA,Beograd,,
Cafe Music Cake & Ice Rajićeva,Beograd,,
Fricken Chicken,Beograd,,
Jutrilo,Beograd,,
Moja Salata Bar Dorćol,Beograd,,
La Trattoria Verde,Beograd,,
Rice Kings Sutlijaš Bar,Beograd,,
Bubblin' Waffle Factory,Beograd,,
Capone Food,Beograd,,
Žuta greda,Beograd,,
SOS Sandwiches,Beograd,,
Mančiz Dorćol,Beograd,,
JI HE SHUN,Beograd,,
Dva jelena,Beograd,,
OLD TOWN COFFEE,Beograd,,
Pizzeria Čika Ljubina,Beograd,,
Bee Smash Burger,Beograd,,
Pastoteka,Beograd,,
TT Bistro | Kalemegdan,Beograd,,
Pivo i Kobaja Garage,Beograd,,
Palačinke Domaće sa Brda,Beograd,,
Pizza Madre,Beograd,,
Uprava 1927,Beograd,,
Pašić Eatery,Beograd,,
Kajmak Novi Beograd,Beograd,,
Chips&Dips,Beograd,,
Food Store,Beograd,,
Picerija Osteria Pizzikata,Beograd,,
Biryani Central,Beograd,,
Miami Sushi & Poke,Beograd,,
Liga Pub Centar,Beograd,,
Haslers Vračar,Beograd,,
Brooklyn Pizza,Beograd,,
Tošin bunar Carigradska,Beograd,,
Ollie bite club,Beograd,,
Picerija Bergamo,Beograd,,
Natura bar falafel house,Beograd,,
Koi Bar Sushi & Cocktail,Beograd,,
Cantina de Frida,Beograd,,
Holy Smokes Novi Beograd,Beograd,,
Zevs Giros Zaplanjska,Beograd,,
Gastroport Centar,Beograd,,
Kami Sushi,Beograd,,
Moon Sushi Centar,Beograd,,
ZLATIBORSKO - UŽIČKI SPECIJALITETI,Beograd,,
Zen by Sushico,Beograd,,
All Italian,Beograd,,
Prana poke,Beograd,,
Play Pasta,Beograd,,
KOMPLETATA,Beograd,,
Kuvana jela Ranković,Beograd,,
Casa Nova,Beograd,,
Crni Đorđe ćevap bar,Beograd,,
Settimana Picerija,Beograd,,
Cafe Hit Grill,Beograd,,
Fuka Duka,Beograd,,
Stari Hong Kong,Beograd,,
Leskovacka skara kod Dejanca,Beograd,,
TeaTalk Bubble Tea,Beograd,,
Mali Princ 011,Beograd,,
Super Donkey ,Beograd,,
Crveni Petao,Beograd,,
Italijanski Sendviči Delizioso,Beograd,,
Le Chef,Beograd,,
Spartacus Rim,Beograd,,
Aigo.eat,Beograd,,
Sushi Big Bite,Beograd,,
Sremuš Healthy Juice & Snack Bar,Beograd,,
Love sandwich,Beograd,,
Repete,Beograd,,
Puter,Beograd,,
Le burger plus,Beograd,,
Pasteli Cake Shop,Beograd,,
Zapata CIUDAD,Beograd,,
Fish House,Beograd,,
Zavičaj Skadarlija,Beograd,,
Italian Job,Beograd,,
Kepo World Galerija,Beograd,,
City Queen,Beograd,,
Pizza Fritta,Beograd,,
Pizzeria Romeo i Giulia,Beograd,,
Silk noodles,Beograd,,
Petković 1903,Beograd,,
Restoran Iv,Beograd,,
Dolly Bell Sava Centar,Beograd,,
Chinese Delicious Food (Bambus Restoran),Beograd,,
Ukus Kine,Beograd,,
All Star Bar,Beograd,,
Pečenjara kod Tome 023,Beograd,,
ASIAN STYLE FOOD,Beograd,,
Red Queen,Beograd,,
Restoran Gigo,Beograd,,
Green Restoran,Beograd,,
Pastis bistro,Beograd,,
Sos Grill,Beograd,,
Mayka & Vege Pijaca,Beograd,,
Bubble Tea Boom,Beograd,,
Bash Smash Burgers Autokomanda,Beograd,,
Restoran Matijaš,Beograd,,
Kod Leskovčanina,Beograd,,
Casa & Casa,Beograd,,
Žar Cica Palačinke,Beograd,,
Rock and Raw,Beograd,,
Tornik,Beograd,,
Tao Thai,Beograd,,
Restoran Konoha,Beograd,,
Al Dente Smash Burger & Pasta Bar,Beograd,,
Mister Boki Burgers,Beograd,,
Amigo Palačinkara,Beograd,,
Gladni Vuk,Beograd,,
Restoran Kalenić,Beograd,,
Restoran Avenia,Beograd,,
Fine Sushi Bar,Beograd,,
Pavle Korčagin NBGD,Beograd,,
Bad Sushi,Beograd,,
Pizza na drva Mikele Slavija,Beograd,,
Piatakia Galerija,Beograd,,
Picerija 11070,Beograd,,
Vega Fresh Bar & Coffee,Beograd,,
Srolaj,Beograd,,
Gotova jela posno vegan (Knez),Beograd,,
Restoran Majestic,Beograd,,
Balance Caffe & Restaurant,Beograd,,
Youran Tea House,Beograd,,
Si Chuan Wok,Beograd,,
Brunello Wine & Dine,Beograd,,
Restoran Muskat,Beograd,,
Dardaneli,Beograd,,
Eleven Chinese restaurant,Beograd,,
Restoran Nišava,Beograd,,
Van Dam Gyro & Sandwich,Beograd,,
Restoran Potpis,Beograd,,
Matchamochi,Beograd,,
GT Food,Beograd,,
Metarizza  - Metar pizza,Beograd,,
Cantina Mediterraneo by Fishek Hangar,Beograd,,
Štab Restoran,Beograd,,
Fontana Gastro Pab,Beograd,,
Chilltown,Beograd,,
Simple BG,Beograd,,
Sushi Wok,Beograd,,
Contact,Beograd,,
Orange Burger,Beograd,,
BEANS domaća kuvana jela,Beograd,,
So i biber,Beograd,,
Ludo Brašno,Beograd,,
In Smoke We Trust,Beograd,,
Banjalučki ćevap Piramida,Beograd,,
Healthy fast food Toto,Beograd,,
Chinese Flavores Restaurant 中式风味餐厅,Beograd,,
Restoran MMB,Beograd,,
Carski NBG Burgeri / Hot Dog / Sendvic,Beograd,,
Atos Čaršija,Beograd,,
Džemastiko,Beograd,,
JB Restoran,Beograd,,
Stix Ukusi Azije,Beograd,,
Domaća Kujna Slavija,Beograd,,
Azzaro Belville,Beograd,,
Supreme Steak House - Galerija,Beograd,,
Sushi Factory,Beograd,,
Stepco,Beograd,,
Fast Food Keksi,Beograd,,
Family lunch by Moja Kuhinjica,Beograd,,
Restoran Mingxuan,Beograd,,
Le Bon Appetit,Beograd,,
Markoni Fast Food,Beograd,,
Jamie's Italian,Beograd,,
Urban Street Food,Beograd,,
Beerland Pub Bg,Beograd,,
Žar Cica,Beograd,,
Take Square NBG,Beograd,,
Kakadu Koncept Bar Belgrade Waterfront,Beograd,,
Beng burger,Beograd,,
Doner kuća,Beograd,,
Toffee kuhinjica Sarajevska,Beograd,,
Creperie Minis,Beograd,,
Vege House,Beograd,,
Hotel Srbija,Beograd,,
Caffe Tierra,Beograd,,
La Cucina,Beograd,,
Park Gastro Bar,Beograd,,
Restaurant&Bar Izlog,Beograd,,
MERCATO ITALIANO - Hangar,Beograd,,
Žar M,Beograd,,
CREDO by Marriott,Beograd,,
Moderna Domaćica,Beograd,,
Present Poslastičarnica,Beograd,,
Bromacvetam,Beograd,,
Dragoljub New Balkan Cuisine,Beograd,,
Mala Vida,Beograd,,
Nosati Pub,Beograd,,
Supertramp Bar Belgrade,Beograd,,
Burger Market,Beograd,,
Pro Eat Sushi,Beograd,,
Poke & Tortilja Big Bite,Beograd,,
Soul Food,Beograd,,
Pizzeria Golub,Beograd,,
Monument Ruski Car,Beograd,,
Sheher,Beograd,,
Bizu Sushi & Fusion,Beograd,,
Roštilj Kod Dede,Beograd,,
Ribarnica Jovan 1,Beograd,,
Gennaro Pizza & Pasta,Beograd,,
Kasper,Beograd,,
Konoba Akustik Voždovac,Beograd,,
Miris Jablana,Beograd,,
Fish Butik,Beograd,,
La Rumba - Comida Cubana,Beograd,,
Chin Chin  (Čin Čin),Beograd,,
Orange Rostilj,Beograd,,
Bioharmony,Beograd,,
Rodina.Bar,Beograd,,
Pinokio 1,Beograd,,
Dokolica,Beograd,,
Delicious Dumplings,Beograd,,
Mlinareva priča,Beograd,,
Restoran Baštino,Beograd,,
Gradska Pivnica Terazije,Beograd,,
Sendvič Store Zemun,Beograd,,
Riža Street Food,Beograd,,
Zelen,Beograd,,
Pizza and Poke,Beograd,,
Domaća kujna Resavska,Beograd,,
Roštilj kod Spaleta,Beograd,,
Giros kod Taličnog Tome,Beograd,,
Kod Goje,Beograd,,
Restoran Opušteno,Beograd,,
Grizzilla,Beograd,,
Piano Loco,Beograd,,
Kuvana Jela Kod Dede,Beograd,,
Sevdah,Beograd,,
Restoran Koren,Beograd,,
Restoran - Pizzeria Alo Alo,Beograd,,
OBA Doner & Kebab,Beograd,,
Zibo China Cuisine,Beograd,,
Oči Gladne - Dirty Smash Burger | Hangar,Beograd,,
Hummus and more,Beograd,,
Poslastičarnica Sara,Beograd,,
Roštilj Kale,Beograd,,
Paun Pizzeria,Beograd,,
Kebabdom Shawarma,Beograd,,
Slatkoteka,Beograd,,
Tri Bistro Vračar,Beograd,,
Voli knedle,Beograd,,
Dekijev Njam,Beograd,,
Make My Day,Beograd,,
L’espresso Savski Venac,Beograd,,
Restoran Feliks,Beograd,,
Žirafa Budimska,Beograd,,
Shanghai Delicious Food Kineski Restaurant,Beograd,,
Burgos - Premium Burger Bar,Beograd,,
Klopa bar,Beograd,,
Pizzeria ltaliana,Beograd,,
Roost,Beograd,,
Cinnabunny – rolnice sa cimetom TC Galerija,Beograd,,
Falafel traditionally served - by Ararat,Beograd,,
Campania Pizza Gourmet,Beograd,,
Nutyno (ex Nutellino),Beograd,,
Minimilian,Beograd,,
Jamie’s Pasta bar,Beograd,,
Taurunum Pogled Pizza Bar,Beograd,,
Pizzeria Matto Napoletano,Beograd,,
The Leskovac,Beograd,,
Piccolo Pizza & Pasta,Beograd,,
Housewife detox,Beograd,,
Pasha Pizza Bar,Beograd,,
Dante,Beograd,,
PalaDžinka,Beograd,,
Bubble Smile,Beograd,,
Lesko Grill,Beograd,,
Pasteli Cake Shop TC Galerija,Beograd,,
Pastino,Beograd,,
Aloha,Beograd,,
Wang Jiao,Beograd,,
Češnili doner,Beograd,,
PIZZERIA KOD BLIZANACA,Beograd,,
Leskovačka Kuća Banovo Brdo,Beograd,,
New York New York ,Beograd,,
FORTINA PIZZA DELIVERY,Beograd,,
Kod Uroševe mame,Beograd,,
Mr.Good,Beograd,,
Bioled Pastry Shop,Beograd,,
Shuta Sushi,Beograd,,
Zapata Pozo,Beograd,,
Makedonac Burger Bar,Beograd,,
Babltić Fast Food Zemun,Beograd,,
Poke Olakino,Beograd,,
Đorđija,Beograd,,
Naša Priča,Beograd,,
Sendvič Store NBG,Beograd,,
Sokače,Beograd,,
Sufle Japanske Palačinke,Beograd,,
Emilio Restoran by New Belgrade Premium,Beograd,,
Savamala Cafe & Restaurant,Beograd,,
Restoran Giulia,Beograd,,
Two Kings by Hilton,Beograd,,
Lovor Urban Bistro,Beograd,,
Heritage Rooftop Open Air Gastro Bar,Beograd,,
Stepa Crepa,Beograd,,
Food Hub,Beograd,,
Stop Palačinke,Beograd,,
Restoran Jerry,Beograd,,
Roštilj Žabac,Beograd,,
Pečenje Ranđelović,Beograd,,
Kežual bar,Beograd,,
Ketering Radulović,Beograd,,
Marenda,Beograd,,
Restoran Za Druga,Beograd,,
Castello Bianco,Beograd,,
Pizzeria Oko,Beograd,,
Gallop grill,Beograd,,
Josephine,Beograd,,
Eatalian Dorćol,Beograd,,
Caribic Pizza Bulevar,Beograd,,
Pejton Pub,Beograd,,
Gurmania,Beograd,,
Pizzeria La Familia,Beograd,,
Umi Sushi,Beograd,,
Wrap i Krilca,Beograd,,
Mimosa,Beograd,,
Butler,Beograd,,
Omakase sushi,Beograd,,
Seoulgrade,Beograd,,
Pizzeria Gasthaus,Beograd,,
Pizzeria Storia NBG,Beograd,,
Kaldi BW,Beograd,,
Mengwei Kineski Restoran,Beograd,,
Pizzeria Milla,Beograd,,
Smash Burgers by Paprika,Beograd,,
Proklopa,Beograd,,
Tocca Bocca,Beograd,,
Pivo i Kobaja Garden,Beograd,,
Foody Ušće,Beograd,,
Le Petit Bistro Blue Center,Beograd,,
The 33 Caffe,Beograd,,
Cuoco,Beograd,,
Donlito,Beograd,,
Te Bar,Beograd,,
Restaurant Pizzeria Madness NBG,Beograd,,
Burrito by Riža,Beograd,,
Rakijator kuhinjica,Beograd,,
Mydan - Senjak,Beograd,,
Piazza dei Fiori,Beograd,,
Restoran LaRoc,Beograd,,
StaNa,Beograd,,
Temax Fabrika Hrane,Beograd,,
Contra Caffe and Restaurant,Beograd,,
Pinta Pub,Beograd,,
Gyros Square Ada Mall,Beograd,,
Restoran Kod Papka,Beograd,,
Stovarište,Beograd,,
IFood,Beograd,,
Gringo,Beograd,,
Fast food Luna,Beograd,,
Lorenzo & Kakalamba,Beograd,,
3 Stola,Beograd,,
Éclat,Beograd,,
Giroslav,Beograd,,
Paradise Food,Beograd,,
Thai Zone,Beograd,,
Roštilj i ribarnica mesara Jovanović,Beograd,,
Creamy Jimmy,Beograd,,
Limonella by Enfild,Beograd,,
Girosito Vračar,Beograd,,
La Tavernetta,Beograd,,
Mali Ustanak Roštilj,Beograd,,
Čajniz,Beograd,,
Kafana Topola,Beograd,,
Tropic Vračar,Beograd,,
Mama Goca Novi Beograd,Beograd,,
Bela Kućica 2,Beograd,,
Baristocratia Bistro,Beograd,,
Brunch To Go Belville,Beograd,,
Torta TC BIG,Beograd,,
Poslastičarnica Šećerlema,Beograd,,
"Nacionalni restoran ""Početak""",Beograd,,
Tegla Bar,Beograd,,
Restoran Maximilian,Beograd,,
Keops,Beograd,,
JACKIE,Beograd,,
Mr. Pako,Beograd,,
Restoran Piazza Platani,Beograd,,
Zvrk,Beograd,,
Chinese Meal Food,Beograd,,
Bad Guys Vračar,Beograd,,
Wood pizza,Beograd,,
Poke Bar by Inbox Kitchen,Beograd,,
Green Hug by Inbox Kitchen,Beograd,,
Caffe All Angolo,Beograd,,
Restoran Byblos,Beograd,,
Pizza La Vista,Beograd,,
Theta Dedinje,Beograd,,
Avlabar,Beograd,,
Cica - Fina Domaća Kuhinja,Beograd,,
Toffee Kuhinjica,Beograd,,
Stari Pingvin,Beograd,,
Naš merak,Beograd,,
Lounge Bar Baza,Beograd,,
Italian Box,Beograd,,
Royal Smash Burgers,Beograd,,
Butkica,Beograd,,
Kod Buce i Dače,Beograd,,
Pizza Origano,Beograd,,
Lemon Chili,Beograd,,
Konoba Vrelo,Beograd,,
AIM Trpeza,Beograd,,
Kuvana jela B23 Maćado,Beograd,,
New Marinero,Beograd,,
Bevanda,Beograd,,
The Pijaca,Beograd,,
Čubura,Beograd,,
Pizza pub,Beograd,,
Pizza Trkačica,Beograd,,
Lucky Lee - Chinese restaurant,Beograd,,
Le petit Bistro Vračar,Beograd,,
Kod Straže,Beograd,,
Banjalučki ćevap Most M,Beograd,,
Sushi Star BG,Beograd,,
Pink Panter Ćevabdžinica,Beograd,,
HookahPlace,Beograd,,
Koš Lounge,Beograd,,
Mamagayo,Beograd,,
Liga Pub,Beograd,,
16ica grill,Beograd,,
Sushi Factory Zemun,Beograd,,
Milagro Tapas Bar,Beograd,,
Ričard Grill,Beograd,,
Pink na Brdu,Beograd,,
Love Greens,Beograd,,
Blinok Kuvana Jela Zvezdara,Beograd,,
Restoran Palilula,Beograd,,
Rocket Palačinke 2,Beograd,,
Ciao Bella BG,Beograd,,
KoČa,Beograd,,
Pizza Station Bar,Beograd,,
Ono Poke,Beograd,,
Extra Sushi,Beograd,,
MIG - Margherita & Gelato NBG,Beograd,,
Poke Poke,Beograd,,
Kobaja Grande,Beograd,,
Bratija,Beograd,,
Natalija Residence,Beograd,,
METARIZZA,Beograd,,
Kod Čekija,Beograd,,
Vrh Beograda Restoran,Beograd,,
Poke Bites,Beograd,,
Di Strada,Beograd,,
Professional Chinese restaurant,Beograd,,
OAT BAR,Beograd,,
Pečenjara Tor,Beograd,,
Villa Maska,Beograd,,
Bistro V,Beograd,,
Restoran Zapata,Beograd,,
Republika Pub,Beograd,,
Mi Đa House,Beograd,,
Salaš011,Beograd,,
Restoran 369,Beograd,,
LakiLu Street Food,Beograd,,
Vesela Soova - Dedinje,Beograd,,
Riblji restoran Radecki,Beograd,,
Restoran DEDINJE,Beograd,,
Splav Nivo,Beograd,,
Bambola,Beograd,,
Čobanov odmor,Beograd,,
Toffee Café,Beograd,,
U.R. Dabić,Beograd,,
Restoran Dren,Beograd,,
Restoran Ustanak,Beograd,,
Casa Mia,Beograd,,
Tavernaki,Beograd,,
Čobanov lad,Beograd,,
Cosi Pizza bar & kitchen,Beograd,,
Sushi Bar Boketto,Beograd,,
Pizza & Pasta Bike,Beograd,,
Grey,Beograd,,
Via Napoli,Beograd,,
East To Go,Beograd,,
Ruzmarin,Beograd,,
Dolly Bell Java,Beograd,,
Beervana Gastro Pub,Beograd,,
Kod Ćelavog,Beograd,,
Paun sandwiches & tortillas,Beograd,,
Beogradski Čevap,Beograd,,
Roštilj kod nane,Beograd,,
Sokače Fast Food,Beograd,,
Kod večitog mladoženje,Beograd,,
CHOSHKLOSH,Beograd,,
Premium Index Banovo Brdo,Beograd,,
PizzaDaFood,Beograd,,
Le Petit Bistro LPB,Beograd,,
Zona 20 Pizzeria e Osterria,Beograd,,
Poke by Toffee,Beograd,,
Kuvana jela by Kolonija A blok,Beograd,,
Sushi Tempo Voždovac,Beograd,,
CHi LE MA (sushi),Beograd,,
Restoran Troy,Beograd,,
Restoran Milagro,Beograd,,
Stara Srpska kuća,Beograd,,
Zapata Cerezo,Beograd,,
Giros kod Luleta,Beograd,,
Fish Bar John Dory,Beograd,,
Restoran Constantin,Beograd,,
Ninja Sushi - Ниндзя Суши,Beograd,,
Restoran Sport,Beograd,,
Kafanica Beograd,Beograd,,
Šašlik House,Beograd,,
Pizza Napolitana Inferno,Beograd,,
Restoran Ritual,Beograd,,
Admiral Bet Pub,Beograd,,
Angulo Gastro Pub,Beograd,,
Pizza Plus Karaburma,Beograd,,
Picerija moj san,Beograd,,
Royal Chicken,Beograd,,
Restoran Ustanička,Beograd,,
Le Nonne Pasta Fresca Dorćol,Beograd,,
Muy Rico,Beograd,,
Cattarissimo Pizza,Beograd,,
Wild Bar,Beograd,,
Distribucija Bar,Beograd,,
Hungry Rooster,Beograd,,
Nova Soča,Beograd,,
Domaće al naše Palilula,Beograd,,
Pizza 2 Go,Beograd,,
Ovo je Druga Kuća,Beograd,,
Soul Foodman,Beograd,,
Green Mill 3,Beograd,,
Kuvana Jela Kujnoteka,Beograd,,
Le Caprice NBGD,Beograd,,
McDonald's Bezistan,Beograd,,
KFC - Studentski Trg,Beograd,,
Domaće palačinke,Beograd,,
McDonald's TimeOut,Beograd,,
BigPizza Karaburma +,Beograd,,
TT Asia,Beograd,,
KFC Beo shopping mall,Beograd,,
Walter Dorćol,Beograd,,
Collina Burgers Novi Beograd,Beograd,,
Space Burger NBG,Beograd,,
Burrito Madre Bulevar,Beograd,,
Giros kod Bucka 3,Beograd,,
McDonald's Fontana,Beograd,,
Saint Fontana,Beograd,,
Burger House Bros. NBG,Beograd,,
Pancakes by Collina Novi Beograd,Beograd,,
Pile & Prase Karaburma,Beograd,,
Pancakes by Collina Vračar,Beograd,,
Ušara Zorana Đinđića,Beograd,,
KFC - Ada,Beograd,,
Collina Burgers Vračar,Beograd,,
Collina SMASH Burgers Vračar,Beograd,,
Pizza na drva kod Mašinca Dorćol,Beograd,,
Bash Smash Burgers Vračar,Beograd,,
Saint Karaburma,Beograd,,
Stepin Vajat Zemun,Beograd,,
McDonald's Bežanijska kosa,Beograd,,
Starbucks Rajićeva,Beograd,,
Boutique 2,Beograd,,
URBAN BITES KARABURMA,Beograd,,
Krusty Banovo Brdo,Beograd,,
BigPizza Karaburma,Beograd,,
Intergalactic Diner Vračar,Beograd,,
KFC - Big,Beograd,,
McDonald's Bulevar,Beograd,,
Grill Ranković Dušanovac,Beograd,,
Saint Zvezdara,Beograd,,
Pavle Korčagin,Beograd,,
KFC - Ušće,Beograd,,
McDonald's Piramida,Beograd,,
Saint Voždovac,Beograd,,
Peony Restaurant,Beograd,,
Krusty Belville,Beograd,,
BigPizza Kumodraška +,Beograd,,
Intergalactic Smash Novi Beograd,Beograd,,
Burger House Bros. Vračar,Beograd,,
Starbucks Zeleni Venac,Beograd,,
Super Snack Bar 7,Beograd,,
Saint NBG,Beograd,,
Tortilla Casa Vračar,Beograd,,
Intergalactic Diner Novi Beograd,Beograd,,
Krusty Crveni krst,Beograd,,
Tri Šešira,Beograd,,
Starbucks Ušće,Beograd,,
Giros kod Bucka,Beograd,,
Good Food Vojislava Ilića,Beograd,,
Bao Fusion Dorćol,Beograd,,
Burrito Madre Ulica Gladnih,Beograd,,
Oklagija Kičevska,Beograd,,
UFO Intergalactic Stari Grad,Beograd,,
Kofilin Kneza Miloša,Beograd,,
Zlatni Bokal,Beograd,,
Collina SMASH Burgers Banovo Brdo,Beograd,,
Sač Resavska,Beograd,,
